"Name";"Total Passengers 2017"
"Bauvin - Provin";180077
"Bègles";24939
"Bayard";1296
"Bayeux";547246
"Bayon";140908
"Bayonne";851330
"Bazancourt";186023
"Baziège";68304
"Bazoches";8864
"Beau Marais";3080
"Beaucaire";9381
"Beaugency";342195
"Beaulieu-sur-Mer";601733
"Beaumont-le-Roger";13989
"Beaune";938799
"Beaurainville";13334
"Beautiran";220690
"Beauvais";1388019
"Beauvoir-sur-Niort";24539
"Beauvoisin";585
"Bedous";16453
"Beillant";200
"Belfort";1111371
"Belfort - Montbéliard TGV";784646
"Bellac";34344
"Belle-Isle - Bégard";2129
"Bellegarde";1006192
"Bellenaves";6744
"Belleville";28305
"Belleville sur Sâone";866993
"Belleville-sur-Vie";67905
"Bellevue";1260583
"Bellignat";7183
"Belloy - Saint-Martin";178210
"Belvès";9336
"Belvezet";609
"Belz - Ploemel";450
"Bena Fanes";3
"Benfeld";486710
"Bengy";13874
"Bergerac";296678
"Bergues";181642
"Berlaimont";18550
"Bernay";482355
"Berre";0
"Bersac";5126
"Berthelming";20076
"Bertrichamps";3521
"Bertry";5685
"Besançon Franche-Comté TGV";513278
"Besançon Mouillère";92062
"Besançon Viotte";2063530
"Beslé";22414
"Bessancourt";665023
"Bessay";11083
"Betton";60525
"Beuvrages";2968
"Beuvry lès Béthune";13700
"Beynes";141174
"Beynost";202055
"Biache-Saint-Vaast";64216
"Biarritz";498863
"Bièvres";469856
"Bibliothèque François Mitterrand";26973000
"Bidarray Pont Noblia";1599
"Bidos";5771
"Biffontaine";2871
"Biganos Facture";851347
"Bigny";1996
"Billy-Montigny";221813
"Biot";298002
"Bischheim";45637
"Bischoffsheim";122726
"Bischwiller";578002
"Bitche";19587
"Bitschwiller";35640
"Bléré la Croix";139070
"Blainville - Damelevières";264074
"Blaisy-Bas";43707
"Blangy-sur-Bresle";28545
"Blangy-sur-Ternoise";535
"Blanquefort";103641
"Blanzy";6130
"Blois - Chambord";1570835
"Blonville-sur-Mer - Benerville";2020
"Boën";13859
"Bogny-sur-Meuse";68920
"Bohain";171113
"Boigneville";54253
"Bois-Colombes";5757271
"Bois-d'Oingt - Légny";25199
"Bois-le-Roi";1126423
"Boisleux";894
"Boisseaux";6415
"Boisset";81
"Boissise-le-Roi";124207
"Boissy-l'Aillerie";256351
"Bolbec - Nointot";7400
"Bollène la Croisière";262335
"Bollwiller";260967
"Bologne";2660
"Bolquère - Eyne";1377
"Bondy";11729340
"Bonnemain";7396
"Bonneval";37539
"Bonneville";236974
"Bonnières";821725
"Bons-en-Chablais";120008
"Bonson";59065
"Boran-sur-Oise";13732
"Bordeaux Saint-Jean";13594434
"Bords";7084
"Bornel - Belle-Église";305829
"Bouaye";25177
"Boucau";6092
"Bouchain";36652
"Boucoiran";1223
"Bouffémont - Moisselles";1000002
"Bougival";842545
"Boulainvilliers";3456000
"Boulogne";847452
"Boulogne Tintelleries";306709
"Boulouris sur Mer";20386
"Bouray";1528385
"Bourbourg";15584
"Bourg-Bruche";8579
"Bourg-en-Bresse";1766986
"Bourg-Lastic - Messeix";61
"Bourg-Madame";4870
"Bourg-Saint-Maurice";319216
"Bourges";898520
"Bourgneuf-en-Retz";15537
"Bourgoin-Jallieu";1836850
"Bourgtheroulde - Thuit-Hébert";1717
"Bournezeau";573
"Bourron-Marlotte - Grez";109035
"Bourth";82
"Boussay - La Bruffière";18605
"Boussens";187423
"Boussy-Saint-Antoine";3396858
"Bouthéon";37248
"Boutigny";199883
"Bouvines";0
"Bouy";1262
"Bouzonville";28274
"Boves";14176
"Bréauté - Beuzeville";478149
"Brélidy - Plouec";1748
"Brétigny";6523930
"Bréval";701346
"Bram";67104
"Brandérion";2015
"Brassac-les-Mines - Sainte-Florine";111476
"Brax - Léguevin";227270
"Brazey-en-Plaine";43808
"Brebières Sud";81105
"Breil-sur-Roya";100788
"Breitenbach";28724
"Bressuire";26462
"Brest";1704897
"Breteil";80856
"Bretenoux - Biars";16363
"Breteuil";36644
"Bretigny - Norges";8340
"Bretoncelles";20929
"Bretteville - Norrey";22059
"Breuil - Romain";13837
"Breuillet - Bruyères-le-Châtel";513384
"Breuillet Village";642623
"Briançon";312239
"Briare";48161
"Brignac";251
"Brignais";272463
"Brignoud";259857
"Brimeux";451
"Brion - Laizy";4415
"Brion - Montréal-la-Cluse";31333
"Brionne";10346
"Brioude";90787
"Briouze";27835
"Brive-la-Gaillarde";748463
"Broons";24003
"Brou";75835
"Broye";7856
"Bruges";29202
"Brumath";565886
"Brunémont";3335
"Brunoy";4277257
"Bruyères";68351
"Bruyères-sur-Oise";112697
"Bruz";119992
"Bueil";133061
"Bugeat";5810
"Buire-sur-l'Ancre";3036
"Bully - Grenay";197996
"Buno - Gironville";64847
"Busigny";51611
"Bussac";3469
"Busseau sur Creuse";1207
"Bussière-Galant";19069
"Buzy en Béarn";7884
"Byans";8714
"Cérons";233452
"Cadaujac";42934
"Caen";3047243
"Caffiers";3274
"Cagnes-sur-Mer";1839271
"Cahors";350237
"Calais - Fréthun";679369
"Calais Ville";974402
"Callac";24032
"Calonne-Ricouart";65518
"Cambo-les-Bains";5749
"Cambrai";686246
"Campagnac - Saint-Geniez";915
"Campagne-sur-Aude";26
"Cannes";4858680
"Cannes La Bocca";527994
"Cantin";45482
"Cap-d'Ail";102575
"Capdenac";74734
"Capvern";6733
"Carantilly - Marigny";1948
"Carbonne";275969
"Carcassonne";831222
"Carentan";204082
"Carhaix";59720
"Carignan";24358
"Carmaux";95720
"Carnoët - Locarn";3273
"Carnoles";782554
"Carnoules";188162
"Carpentras";817506
"Carry-le-Rouet";130430
"Casino Lacroix Laval";21499
"Cassel";117239
"Cassis";335715
"Castelnau-d'Estrétefonds";235037
"Castelnaudary";307681
"Castelsarrasin";82535
"Castillon";148957
"Castres";179532
"Cattenières";8
"Caudéran Mérignac";60106
"Caudrot";5031
"Caudry";115439
"Caulnes";36449
"Caussade";102390
"Cavaillon";501845
"Cavignac";39043
"Cazères";171036
"Ceilhes - Roqueredonde";5293
"Ceintrey";3022
"Cenon";24057
"Cerbère";55671
"Cercottes";31548
"Cercy-la-Tour";33388
"Cergy le Haut";6193924
"Cergy Préfecture";11076302
"Cergy Saint-Christophe";5410839
"Cerizay";314
"Cernay";391721
"Cernay";2970474
"Cessieu";26629
"Cesson";2258199
"Cesson-Sévigné";117980
"Ceyzériat";4694
"Chépy - Valines";6434
"Chézy-sur-Marne";21077
"Chabanais";7180
"Châbons";53308
"Chabenet";114
"Châlons-en-Champagne";807041
"Chabris";19859
"Château-Arnoux-Saint-Auban";84916
"Château-du-Loir";167538
"Château-Gaillard";4982
"Château-l'Évêque";1091
"Château-Renault";57880
"Château-Thierry";730901
"Châteaubourg";419128
"Châteaubriant";27757
"Châteaubriant Tram Train";105329
"Châteaudun";95545
"Châteaulin";15525
"Châteauneuf - Bujaleuf";2274
"Châteauneuf-sur-Charente";51173
"Châteauneuf-sur-Cher";11787
"Châteauroux";765689
"Châtel - Nomexy";115415
"Châtel-Censoir";3510
"Châtelaillon";87498
"Châtelaudren - Plouagat";11000
"Châtelet-les-Halles";27010800
"Châtellerault";514801
"Châtillon d'Azergues";17707
"Chagny";366296
"Chailly Boissy le Châtel";10800
"Chaingy Fourneaux Plage";11992
"Chalais";16049
"Challans";155703
"Chalon-sur-Saône";1349824
"Chalonnes";202154
"Chamalières-sur-Loire";1245
"Chamarande";183606
"Chambéry - Challes-les-Eaux";3516378
"Chambly";716086
"Chamborigaud";5131
"Chambourg";14048
"Chamelet";8452
"Chamonix Aiguille du Midi";3863
"Chamonix-Mont-Blanc";142120
"Chamousset";32482
"Champ de Courses d'Enghien";1863941
"Champ de Mars Tour Eiffel";8672400
"Champagné";26741
"Champagne-Ardenne TGV";786579
"Champagne-sur-Oise";319014
"Champagne-sur-Seine";492017
"Champagney";46863
"Champagnole";33964
"Champagnole Paul-Émile Victor";4248
"Champbenoist Poigny";178320
"Champigneulles";9339
"Champigny";58960
"Champs - Saint-Bris";3168
"Champtocé-sur-Loire";32870
"Chanac";611
"Changis - Saint-Jean";318866
"Chanteloup-les-Vignes";758045
"Chantenay";30325
"Chantenay-Saint-Imbert";7940
"Chantilly - Gouvieux";2459005
"Chantonnay";15531
"Chapeauroux";499
"Chaponost";77448
"Chaponval";48665
"Charbonnières-les-Bains";253009
"Charleville-Mézières";1058124
"Charmes";284378
"Chars";606566
"Chartres";2625491
"Chartrettes";48655
"Chasse-sur-Rhône";160472
"Chasseneuil-du-Poitou";10107
"Chasseneuil-sur-Bonnieure";28700
"Chasseradès";619
"Chauffailles";19260
"Chauffry";10800
"Chaugey";15049
"Chaulnes";92288
"Chaumont";380065
"Chaumont-en-Vexin";165426
"Chauny";516457
"Chaville - Vélizy";1648756
"Chaville Rive Droite";2101459
"Chaville Rive Gauche";1208554
"Chèvremont";467
"Chazay - Marcilly";17383
"Chedde";22641
"Cheilly-lès-Maranges";6453
"Chelles - Gournay";9830837
"Chemillé";171315
"Chemilly - Appoigny";1911
"Chemin d'Antony";394209
"Chenevières";3028
"Chenonceaux";48699
"Cherbourg";574064
"Chessy";20848
"Chevaigné";43305
"Chevillon";1192
"Chevilly";33051
"Chevrières";27857
"Chilly-Mazarin";1031953
"Chindrieux";20739
"Chinon";125607
"Chirac";24
"Chissay-en-Touraine";7710
"Chocques";5183
"Choisy-le-Roi";12895576
"Cholet";540184
"Chorges";76972
"Chouzy";8329
"Cinq-Mars-la-Pile";98329
"Cintegabelle";104089
"Cires-lès-Mello";98674
"Ciry-le-Noble";2695
"Civrieux-d'Azergues";8588
"Cize - Bolozon";586
"Clacy - Mons";119
"Clamart";3115297
"Clamecy";24516
"Clères";130567
"Clelles - Mens";25576
"Clermont de l'Oise";972353
"Clermont la Pardieu";306533
"Clermont la Rotonde";13208
"Clermont-en-Argonne";378
"Clermont-Ferrand";3593213
"Clerval";56308
"Clichy - Levallois";11595956
"Clion sur Seugne";11
"Clisson";841929
"Cloyes";11572
"Cluses";463496
"Coarraze - Nay";31704
"Coat Guégan";2851
"Cobrieux";1
"Cognac";150863
"Coignières";535070
"Collioure";97295
"Collonges";25943
"Collonges - Fontaines";68477
"Colmar";3871236
"Colmar Mésanges";3439
"Colmar Saint-Joseph";87333
"Colombes";5327109
"Colombier-Fontaine";14045
"Colomiers";310508
"Colomiers Lycée International";233154
"Colroy - Lubine";140
"Combourg";267922
"Combs-la-Ville - Quincy";4228505
"Comines";2348
"Commentry";149466
"Commercy";175666
"Compans";44284
"Compiègne";2273837
"Conches";104134
"Condé-sur-Huisne";13529
"Condat - Le Lardin";33229
"Conflans - Jarny";116465
"Conflans Fin d'Oise";5216599
"Conflans-Sainte-Honorine";4439639
"Conlie";65233
"Connerré - Beillé";167768
"Contrexéville";30912
"Corbehem";31271
"Corbeil-Essonnes";6697244
"Corbie";350040
"Corbigny";5084
"Corcieux Vanémont";2809
"Corcy";7
"Cordemais";29011
"Cordes - Vindrac";9468
"Corgoloin";13228
"Cormeilles-en-Parisis";3662362
"Cormery";109419
"Cornil";4309
"Coron de Méricourt";35417
"Corps-Nuds";6701
"Corrèze";4737
"Corseul - Languenan";2153
"Cosne-sur-Loire";178040
"Couëron";37463
"Coucy-lès-Eppes";7048
"Coudekerque-Branche";7764
"Couffoulens - Leuc";254
"Couilly - Saint-Germain - Quincy";102600
"Couiza - Montazels";622
"Coulanges-sur-Yonne";2507
"Couliboeuf";1002
"Coulommiers";934828
"Courbevoie";3668948
"Courcay - Tauxigny";8599
"Courcelles-le-Comte";395
"Courcelles-sur-Nied";25377
"Courcy - Brimont";18842
"Coursan";2550
"Courtalain - Saint-Pellerin";4104
"Courthézon";99267
"Courville-sur-Eure";296905
"Cousance";5631
"Coussac-Bonneval";866
"Coutances";143164
"Coutras";347115
"Couze";1010
"Couzon-au-Mont-d'Or";36114
"Crécy-la-Chapelle";162009
"Crépieux la Pape";7129
"Crépy - Couvron";1737
"Crépy-en-Valois";1047666
"Créteil Pompadour";5978329
"Cramoisy";3834
"Cransac";3593
"Cravant - Bazarnes";8410
"Crêches-sur-Saône";25704
"Creil";4422025
"Crest";59558
"Creutzwald";3429
"Crissé";2685
"Croix - Wasquehal";6877
"Croix du Prince";3974
"Croix l'Allumette";1669
"Croix Sainte";11052
"Cros de Cagnes";211333
"Crouy";327
"Crouy-sur-Ourcq";175698
"Cubzac-les-Ponts";6706
"Cuers - Pierrefeu";138559
"Cugand";11185
"Cuinchy";47564
"Culmont - Chalindrey";64281
"Culoz";223307
"Cysoing";29
"Dégagnac";308
"Dachstein";80152
"Dambach-la-Ville";33397
"Damblain";601
"Damiatte - Saint-Paul";21096
"Dammartin - Juilly - Saint-Mard";2067591
"Dangé-Saint-Romain";11266
"Danjoutin";0
"Dannemarie";100713
"Dannemarie - Velesmes";25441
"Dannes - Camiers";11728
"Daours";28859
"Dardilly le Jubin";42796
"Dardilly les Mouilles";19482
"Darsac";6032
"Dax";845684
"Deûlémont";390
"Decize";94364
"Delle";0
"Deluz";1192
"Denain";31603
"Dercy - Froidmont";13503
"Dettwiller";141696
"Deuil - Montmagny";2900177
"Deville";24211
"Diarville";1745
"Die";54384
"Diemeringen";109666
"Dieppe";504926
"Dieulouard";111939
"Dieupentale";104321
"Digoin";19232
"Dijon";5756076
"Dijon Porte Neuve";146579
"Dinan";82779
"Dingé";9641
"Dirinon";1247
"Dissay";26942
"Distroff";23789
"Dives - Cabourg";26717
"Dives-sur-Mer Port Guillaume";2977
"Docelles - Cheniménil";5496
"Dol-de-Bretagne";376776
"Dole";823295
"Dombasle-sur-Meurthe";291547
"Domblans - Voiteur";41499
"Domfront";13090
"Dommartin - Lissieu";9114
"Dommartin - Remiencourt";8963
"Domont";2596423
"Dompierre";3163
"Dompierre Sept Fons";17523
"Don - Sainghin";236344
"Donchery";25801
"Donges";8316
"Donjeux";6275
"Donzère";23802
"Dordives";7001
"Dorlisheim";107811
"Dormans";110300
"Douai";2932097
"Dourdan";851584
"Dourdan la Forêt";383403
"Dourges";254573
"Douzillac";515
"Drancy";6790729
"Drap - Cantaron";86199
"Drefféac";3504
"Dreuil-lès-Amiens";10017
"Dreux";657054
"Drusenheim";112821
"Druye";17106
"Dugny - La Courneuve";469800
"Dunkerque";1753847
"Duppigheim";114495
"Durtol - Nohanent";590
"Duttlenheim";163738
"Ebblinghem";24707
"Ebersheim";13195
"Ecole-Valentin";6384
"Eichhoffen";14472
"Einvaux";5343
"Elbeuf - Saint-Aubin";206854
"Elne";78347
"Embrun";368346
"Enchenberg";10567
"Enghien-les-Bains";7120172
"Ennevelin";471
"Entraigues-sur-la-Sorgue";211498
"Entzheim Aéroport";348030
"Epannes";0
"Epfig";24352
"Erdre-Active";31751
"Ermont - Eaubonne";20221250
"Ermont - Eaubonne";399
"Ermont Halte";934261
"Err";341
"Erstein";525486
"Esbly";2085140
"Escalquens";64307
"Escaudoeuvres";160
"Esches";44621
"Espéraza";439
"Esquelbecq";122080
"Essonnes Robinson";313213
"Estavar";95
"Estrées-Saint-Denis";45434
"Estressin";82696
"Esvres sur Indre";24784
"Eu";31080
"Eurville";694
"Exideuil";79
"Eygurande - Merlines";1308
"Eymoutiers Vassivière";39625
"Fécamp";134099
"Fépin";5477
"Farébersviller";3296
"Farbus";1824
"Faremoutiers - Pommeuse";253930
"Farschviller";21467
"Faubourg d'Orléans";120806
"Faulquemont";191184
"Fère-en-Tardenois";4761
"Fegersheim - Lipsheim";141073
"Fellering";26713
"Felletin";3982
"Fenouillet - Saint-Alban";42
"Ferrières - Fontenay";4636
"Feuquerolles";397
"Feuquières - Broquiers";17335
"Feuquières - Fressenneville";15589
"Feurs";188571
"Feyzin";124080
"Figeac";158156
"Firminy";271059
"Fismes";204885
"Flavy-le-Martel";12315
"Flaxlanden";11297
"Flers";126436
"Fleurieux-sur-l'Arbresle";115640
"Fleurville - Pont-de-Vaux";16709
"Flez-Cuzy - Tannay";988
"Foëcy";25934
"Foix";227199
"Folligny";8064
"Fons - Saint-Mamert";18184
"Font-Romeu-Odeillo-Via";52879
"Fontaine-le-Port";48853
"Fontainebleau - Avon";3682622
"Fontaines - Mercurey";38078
"Fontaines-d'Ozillac";82
"Fontan - Saorge";9864
"Fontenay-le-Fleury";1365903
"Fontenoy-sur-Moselle";2502
"Fontpédrouse Saint-Thomas les Bains";3008
"Forbach";366809
"Formerie";7501
"Fors";32571
"Fos-sur-Mer";23296
"Foucart - Alvimare";7967
"Fouday";12098
"Foug";9859
"Fougeré";1590
"Fougeray - Langon";9697
"Fouilloy";1277
"Fouquereuil";1065
"Fourchambault";17428
"Fourmies";188864
"Fréjus";376054
"Fréjus - Saint-Raphael Autotrain";51
"Frénouville - Cagny";15249
"Frépillon";340244
"Fréteval - Morée";3629
"Frévin-Capelle";7935
"Fraisses - Unieux";149
"Franchet d'Esperey";46449
"Francheville";73019
"Franconville - Le Plessis-Bouchard";5633213
"Franois";28289
"Frasne";147726
"Freinville Sevran";988201
"Freistroff";2171
"Fresnoy-le-Grand";23812
"Fretin";95223
"Fromental";410
"Froncles";34596
"Frontenex";30272
"Frontignan";338948
"Fronville";287
"Frouard";45300
"Frynaudour";165
"Fumay";90981
"Futuroscope";170247
"Générac";432
"Génelard";10539
"Génolhac";28859
"Gadagne";28294
"Gagny";4784504
"Gaillac";239410
